URL,Fund name,ISIN,Last NAV,Fund creation date,Promoter(s),Central administration,Management company,Transfer agent,Custodian,Auditor,Legal advisor,Exec_time
https://www.fundsquare.net/security/information?idInstr=192674,LU1040271139,,Unavailable - Waiting for initial subscription ,,-,-,-,,-,-,-,1.53
https://www.fundsquare.net/security/information?idInstr=205725,LU1052140065,,31/10/2024,,-,-,-,,-,-,-,1.38
https://www.fundsquare.net/security/information?idInstr=363007,-/0/01,,Unavailable - Waiting for initial subscription ,,-,-,-,,-,-,-,1.36
https://www.fundsquare.net/security/information?idInstr=1835651,LU2531934177,,,,-,-,-,,-,-,-,1.23
https://www.fundsquare.net/security/information?idInstr=405245,LU2397781605,,26/06/2025,,-,-,-,,-,-,-,1.19
https://www.fundsquare.net/security/information?idInstr=2309495,V4168/0/01,,,,-,-,-,,-,-,-,1.14
https://www.fundsquare.net/security/information?idInstr=2309495,V4168/0/01,,,,-,-,-,,-,-,-,1.12
https://www.fundsquare.net/security/information?idInstr=2509951,V10962/0/-,,,,-,-,-,,-,-,-,1.07
https://www.fundsquare.net/security/information?idInstr=1835651,LU2531934177,,,,-,-,-,,-,-,-,1.04
